                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98232,                 3.1383,                 2.1186,                  1.418,                0.63735,                0.30571,                0.55722,                0.28389,                 0.4833,                0.21739,                0.24407,                0.08564,                 1.2863,                 4.3506,                 3.2579,                 2.3392,                0.00064,                0.00064,                0.00064
                      2,                 1.0905,                 2.6514,                 1.6889,                 1.4911,                0.57324,                0.63043,                0.59876,                 0.2574,                0.48597,                0.34783,                0.26083,                0.07024,                 1.6901,                 4.0895,                 3.3713,                 3.4897,              0.0012871,              0.0012871,              0.0012871
                      3,                 1.2088,                 2.6242,                 1.6356,                 1.5659,                0.39212,                    0.5,                0.40976,                0.14051,                0.20061,                0.19565,                0.08134,                0.01912,                 2.0982,                 17.909,                 3.3226,                 5.0531,              0.0019212,              0.0019212,              0.0019212
                      4,                 1.2153,                 2.5358,                 1.5013,                 1.5647,                0.32203,                    0.5,                0.30531,                0.13606,                0.25722,                0.30435,                0.18038,                0.07751,                 1.7856,                  6.994,                 3.0669,                 3.1315,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1474,                 2.4354,                 1.3887,                 1.5025,                0.46078,                0.57596,                0.51443,                0.21918,                0.33294,                0.36957,                  0.297,                0.10432,                 1.7274,                 4.7838,                 2.3597,                 2.8999,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1412,                 2.4435,                 1.3368,                 1.4992,                0.44717,                0.54348,                0.44037,                0.15323,                0.24859,                0.19565,                0.07793,                0.02427,                 2.0977,                 6.3763,                 2.4862,                  3.554,               0.001901,               0.001901,               0.001901
                      7,                 1.0869,                 2.3741,                 1.2281,                 1.4638,                0.54457,                0.58696,                0.45836,                0.15817,                0.24135,                0.19565,                 0.1267,                0.04835,                 2.3479,                 6.0976,                 2.0269,                 3.3202,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1022,                 2.4013,                  1.177,                 1.4588,                0.59487,                 0.6385,                0.64441,                0.29041,                0.49087,                0.45652,                 0.4529,                0.19506,                 1.7269,                 3.2503,                 1.8372,                  2.466,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0474,                 2.2531,                 1.1394,                 1.4327,                0.66293,                0.72695,                0.72002,                0.34053,                0.30531,                0.36957,                0.16326,                0.04883,                 1.6686,                 6.5588,                 1.7723,                 2.6853,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0217,                 2.2112,                 1.1297,                  1.407,                0.75803,                0.68115,                0.70218,                0.32684,                0.49501,                0.43478,                0.30214,                0.13863,                 1.5484,                  4.254,                 1.7863,                 2.5106,              0.0018218,              0.0018218,              0.0018218
