                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87916,                 3.8179,                 2.4016,                 1.3638,                0.00333,                      1,                0.83739,                0.57673,                0.00333,                      1,                0.83739,                0.65604,                0.72926,                 1.2828,                 3.2056,                 1.5282,                0.00026,                0.00026,                0.00026
                      2,                0.51432,                0.67284,                 1.0787,                 1.1003,                      1,                0.60999,                0.98269,                 0.6203,                      1,                0.60999,                0.98269,                 0.9467,                 1.0881,                0.62144,                  3.056,                 2.1079,             0.00052931,             0.00052931,             0.00052931
                      3,                0.46798,                0.50363,                0.87194,                 1.0521,                0.95995,                0.83333,                0.91157,                0.66703,                0.76407,                0.66667,                0.63513,                0.37448,                 0.8038,                 10.508,                 2.4217,                  1.651,             0.00078753,             0.00078753,             0.00078753
                      4,                0.54779,                0.59021,                0.94098,                 1.0899,                0.90849,                0.82779,                0.92812,                0.61063,                0.90686,                0.81287,                0.81977,                0.48616,                0.88926,                 6.5933,                 2.3819,                 1.6311,              0.0010347,              0.0010347,              0.0010347
                      5,                0.60324,                0.62796,                0.96761,                 1.1205,                0.27361,                 0.8165,                0.37326,                0.15101,                0.17034,                   0.25,                0.14538,                0.03333,                 1.4707,                 23.885,                 3.7662,                 2.2353,              0.0012707,              0.0012707,              0.0012707
                      6,                0.49718,                 0.4551,                0.74748,                 1.0501,                0.19779,                    0.5,                0.14798,                0.06397,                0.19779,                    0.5,                0.25531,                0.10023,                 2.7686,                 9.4217,                 3.1626,                 3.3983,              0.0014957,              0.0014957,              0.0014957
                      7,                0.57812,                0.57498,                0.78206,                 1.1403,                0.79746,                0.41667,                0.49834,                0.29564,                0.79746,                0.41667,                0.49834,                0.30226,                 1.9335,                 4.2029,                 2.5167,                 2.8349,              0.0017095,              0.0017095,              0.0017095
                      8,                0.53125,                0.54735,                0.72086,                 1.0871,                0.66632,                 0.8321,                 0.7752,                0.54612,                0.65389,                0.66667,                0.68513,                0.55331,                0.95249,                 2.4883,                 1.6038,                 1.7729,              0.0017228,              0.0017228,              0.0017228
                      9,                0.51613,                0.47397,                 0.6451,                 1.0623,                0.65651,                      1,                0.86316,                 0.5707,                0.70368,                0.91667,                 0.8858,                0.63313,                 1.1659,                0.69078,                 1.7063,                 1.9462,              0.0017228,              0.0017228,              0.0017228
                     10,                0.54207,                 0.5396,                0.66548,                 1.0758,                0.86522,                0.58333,                0.67026,                0.49416,                0.88386,                    0.5,                 0.5479,                0.52299,                0.98519,                 4.8245,                 1.7607,                 1.6715,              0.0016832,              0.0016832,              0.0016832
                     11,                0.49947,                0.51333,                0.65316,                 1.0729,                0.89598,                0.91667,                 0.9769,                0.77223,                0.89598,                0.91667,                 0.9769,                0.75993,                0.91565,                 2.2394,                 1.8335,                 1.8281,              0.0016436,              0.0016436,              0.0016436
                     12,                0.50395,                0.52893,                0.60565,                 1.0504,                0.92289,                0.99763,                0.98885,                0.80717,                0.92289,                0.99763,                0.98885,                0.91682,                0.77853,                0.55272,                 1.0019,                 1.4958,               0.001604,               0.001604,               0.001604
                     13,                0.46739,                0.50755,                0.56903,                 1.0475,                0.91341,                0.91667,                 0.9573,                0.74643,                0.91341,                0.91667,                 0.9573,                0.62989,                0.79782,                   2.76,                 1.1724,                 1.5969,              0.0015644,              0.0015644,              0.0015644
                     14,                 0.4785,                0.49139,                0.53409,                 1.0439,                  0.788,                0.83333,                0.77982,                0.54092,                  0.788,                0.83333,                0.77982,                0.54608,                  1.102,                 1.6602,                 1.8985,                 1.8474,              0.0015248,              0.0015248,              0.0015248
                     15,                0.46807,                0.47276,                0.53646,                 1.0487,                      1,                0.96853,                  0.995,                0.83949,                      1,                0.96853,                  0.995,                0.80946,                0.71605,                0.92236,                 1.0769,                   1.35,              0.0014852,              0.0014852,              0.0014852
                     16,                0.48502,                0.50657,                0.55237,                 1.0463,                0.48142,                    0.5,                0.50575,                 0.3816,                0.48142,                    0.5,                0.50575,                0.38688,                 1.0132,                 1.0283,                 1.8962,                 1.9844,              0.0014456,              0.0014456,              0.0014456
                     17,                0.47369,                 0.5202,                0.54175,                   1.04,                0.97312,                0.91667,                0.93962,                0.52879,                0.97312,                0.91667,                0.93962,                0.58836,                 1.3477,                 2.5443,                 1.8267,                 3.1519,               0.001406,               0.001406,               0.001406
                     18,                0.48216,                0.50312,                0.52912,                 1.0357,                0.99322,                      1,                  0.995,                 0.8685,                0.99322,                      1,                  0.995,                0.95371,                0.72935,                0.35189,                0.82579,                  1.315,              0.0013664,              0.0013664,              0.0013664
                     19,                0.45033,                0.45156,                0.47153,                 1.0211,                0.99464,                      1,                  0.995,                0.84549,                0.99464,                      1,                  0.995,                0.92272,                0.53701,                0.27288,                0.69448,                 1.0799,              0.0013268,              0.0013268,              0.0013268
                     20,                0.45171,                0.47571,                0.46441,                 1.0271,                0.84401,                      1,                0.95929,                0.88304,                0.84401,                      1,                0.95929,                0.93133,                0.59258,                0.21418,                0.80058,                 1.1404,              0.0012872,              0.0012872,              0.0012872
                     21,                0.43291,                0.47084,                0.46866,                 1.0134,                0.98523,                      1,                  0.995,                0.88633,                0.98523,                      1,                  0.995,                0.98562,                 0.4732,                0.27695,                 0.7561,                 1.0358,              0.0012476,              0.0012476,              0.0012476
                     22,                0.43117,                0.42642,                0.44526,                0.99841,                 0.5862,                0.82674,                0.77751,                0.59035,                0.69524,                0.95174,                0.86889,                0.62958,                0.92197,                0.53437,                 1.2296,                 1.3153,               0.001208,               0.001208,               0.001208
                     23,                 0.3987,                0.36104,                0.41033,                0.98424,                      1,                0.90059,                0.96833,                0.79511,                      1,                0.90059,                0.96833,                0.83167,                0.64302,                0.36856,                0.82965,                 1.1112,              0.0011684,              0.0011684,              0.0011684
                     24,                0.43876,                0.52073,                0.46419,                 1.0222,                0.90589,                0.91667,                0.96483,                0.80125,                0.90589,                0.91667,                0.96483,                0.87124,                0.67416,                0.29147,                0.78194,                 1.2888,              0.0011288,              0.0011288,              0.0011288
                     25,                0.39843,                0.35897,                0.41051,                  1.004,                0.93318,                0.91667,                0.98885,                0.83743,                0.93318,                0.91667,                0.98885,                0.90902,                0.59661,                 0.2551,                0.78534,                 1.3083,              0.0010892,              0.0010892,              0.0010892
                     26,                0.41268,                0.42426,                0.41531,                 1.0039,                0.98912,                      1,                  0.995,                0.84202,                0.98912,                      1,                  0.995,                0.94946,                0.56168,                0.27236,                0.53538,                 1.1341,              0.0010496,              0.0010496,              0.0010496
                     27,                0.37746,                0.40938,                0.39542,                0.98745,                0.98446,                      1,                  0.995,                0.89038,                0.98446,                      1,                  0.995,                0.92669,                0.48131,                 0.2191,                0.50916,                 1.0813,                0.00101,                0.00101,                0.00101
                     28,                0.35697,                0.38437,                0.36264,                0.97609,                0.99568,                      1,                  0.995,                0.87953,                0.99568,                      1,                  0.995,                0.88216,                0.57764,                0.23744,                0.45284,                 1.2189,              0.0009704,              0.0009704,              0.0009704
                     29,                 0.3569,                0.38255,                0.37554,                0.96242,                0.99559,                      1,                  0.995,                0.97532,                0.99559,                      1,                  0.995,                0.98702,                0.33202,                0.24178,                0.35449,                0.86141,              0.0009308,              0.0009308,              0.0009308
                     30,                0.35136,                0.34535,                0.36059,                0.97098,                0.97773,                      1,                  0.995,                0.95974,                0.97773,                      1,                  0.995,                0.98561,                0.32718,                0.21811,                0.39601,                0.83846,              0.0008912,              0.0008912,              0.0008912
                     31,                0.37133,                0.42519,                0.37009,                0.96751,                0.99571,                      1,                  0.995,                0.96311,                0.99571,                      1,                  0.995,                0.98636,                0.27217,                0.21696,                 0.4442,                0.80816,              0.0008516,              0.0008516,              0.0008516
                     32,                0.35756,                0.35393,                0.34988,                 0.9638,                0.99508,                      1,                  0.995,                0.95358,                0.99508,                      1,                  0.995,                  0.995,                 0.3034,                0.21229,                0.37227,                0.83495,               0.000812,               0.000812,               0.000812
                     33,                0.37137,                0.39111,                 0.3715,                0.97291,                0.99422,                      1,                  0.995,                0.96788,                0.99422,                      1,                  0.995,                0.98352,                0.31829,                0.21334,                0.35585,                0.85768,              0.0007724,              0.0007724,              0.0007724
