                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79088,                 3.0276,                 2.1748,                 1.2909,                0.52761,                    0.6,                0.80929,                0.68237,                0.52761,                    0.6,                0.80929,                0.75126,                0.56224,                0.61388,                 2.7097,                 1.0677,                 0.0006,                 0.0006,                 0.0006
                      2,                0.60885,                0.62579,                 1.1754,                  1.121,                 0.7665,                    0.8,                0.84591,                0.63771,                 0.7665,                    0.8,                0.84591,                0.75226,                0.85769,                  1.505,                 3.4765,                 1.8206,              0.0011958,              0.0011958,              0.0011958
                      3,                0.64575,                0.62534,                 1.1328,                 1.1196,                0.96238,                    0.8,                0.93786,                0.73863,                0.96238,                    0.8,                0.93786,                0.88874,                0.86401,                0.30401,                 2.1245,                 1.5458,              0.0017671,              0.0017671,              0.0017671
                      4,                0.69067,                0.56117,                  1.169,                 1.1777,                0.66352,                    0.8,                0.71848,                0.43709,                0.66352,                    0.8,                0.71848,                0.65406,                 1.3774,                0.46329,                 2.5664,                 2.2803,              0.0018812,              0.0018812,              0.0018812
                      5,                0.59979,                 0.5241,                  1.136,                 1.1331,                      1,                0.96499,                  0.995,                0.71921,                      1,                0.96499,                  0.995,                0.90078,                0.66622,                0.39508,                 2.8621,                  1.318,              0.0018812,              0.0018812,              0.0018812
                      6,                0.62394,                 0.4839,                 1.0358,                 1.1071,                0.99559,                      1,                  0.995,                0.82211,                0.99559,                      1,                  0.995,                0.92837,                0.67364,                0.20904,                 1.2193,                 1.1805,              0.0018416,              0.0018416,              0.0018416
                      7,                0.68917,                0.65826,                 1.0441,                 1.2024,                 0.9844,                      1,                  0.995,                0.70114,                 0.9844,                      1,                  0.995,                0.97103,                0.85326,                 0.2374,                 1.6027,                 1.5515,               0.001802,               0.001802,               0.001802
                      8,                0.67986,                0.45432,                 0.9953,                 1.1352,                0.98564,                      1,                  0.995,                0.84832,                0.98564,                      1,                  0.995,                 0.9605,                0.54508,                0.21732,                 1.3805,                 1.0636,              0.0017624,              0.0017624,              0.0017624
                      9,                0.58786,                0.40543,                0.83753,                 1.0687,                      1,                0.79785,                0.93786,                 0.8722,                      1,                0.79785,                0.93786,                0.93786,                0.46168,                0.22208,                 1.0433,                0.93812,              0.0017228,              0.0017228,              0.0017228
                     10,                0.53474,                0.41716,                0.76243,                 1.0473,                0.86076,                      1,                  0.995,                0.90528,                0.86076,                      1,                  0.995,                0.95913,                0.58804,                0.19949,                 1.0349,                 1.0092,              0.0016832,              0.0016832,              0.0016832
                     11,                0.58524,                0.44026,                0.80711,                 1.0522,                0.90575,                      1,                  0.995,                0.87153,                0.90575,                      1,                  0.995,                0.95913,                0.68666,                0.20461,                 1.1213,                 1.0861,              0.0016436,              0.0016436,              0.0016436
