                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0052,                  2.287,                 1.5611,                0.00328,                      1,                0.61839,                 0.3888,                 1.0505,                 3.3818,                  1.842,                0.00032,                0.00032,                0.00032
                      2,                 0.9674,                 1.5719,                 1.5295,                0.85859,                0.56055,                0.81598,                0.46571,                  1.028,                 2.9123,                 2.0883,             0.00064693,             0.00064693,             0.00064693
                      3,                  1.026,                 1.5115,                 1.5844,                0.73232,                0.63077,                0.73332,                 0.3696,                 1.3587,                 2.9661,                 2.6495,              0.0009604,              0.0009604,              0.0009604
                      4,                 1.0387,                 1.4976,                  1.609,                0.36593,                0.70769,                0.38027,                0.13533,                 1.9138,                 3.6066,                 2.8326,              0.0012604,              0.0012604,              0.0012604
                      5,                 1.0581,                  1.467,                   1.61,                 0.3914,                0.61538,                0.32045,                0.08373,                 2.1924,                  2.932,                 3.1784,              0.0015469,              0.0015469,              0.0015469
                      6,                  1.025,                 1.3901,                 1.5945,                0.44312,                0.70769,                0.46638,                 0.1557,                 1.9487,                 2.4264,                 3.0917,               0.001802,               0.001802,               0.001802
                      7,                 1.0931,                 1.3813,                 1.6352,                0.15848,                0.38462,                  0.109,                0.03447,                 3.1978,                   3.29,                 3.6539,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.0633,                 1.3533,                 1.5931,                0.78461,                0.67255,                0.74076,                0.34661,                  2.007,                 2.2137,                  3.455,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.0832,                 1.3576,                 1.6226,                0.54856,                0.72912,                0.66898,                0.35205,                  1.747,                 1.9375,                 2.7173,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.0927,                  1.278,                  1.621,                0.51304,                    0.6,                0.55869,                0.23444,                 2.3471,                 2.2292,                 3.4441,              0.0016436,              0.0016436,              0.0016436
