                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0062,                 2.0165,                 1.5825,                0.84777,                0.58968,                0.78988,                0.38832,                 1.3916,                 2.9809,                 2.7579,             0.00065185,             0.00065185,             0.00065185
                      2,                 1.1754,                 1.6464,                 1.6959,                0.65378,                0.76471,                0.69872,                0.30289,                 1.7732,                 2.8066,                 3.2744,              0.0012924,              0.0012924,              0.0012924
                      3,                 1.1793,                 1.5993,                 1.7171,                  0.603,                0.50588,                 0.5195,                0.17286,                 1.7331,                 2.7018,                 2.8196,              0.0019066,              0.0019066,              0.0019066
                      4,                 1.1933,                 1.5791,                 1.7351,                0.64609,                0.77322,                0.67616,                 0.3468,                  1.665,                 2.6666,                 3.1399,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1728,                  1.448,                 1.7078,                0.40689,                0.47059,                 0.4162,                0.17671,                 1.8405,                 2.9494,                 2.8857,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.164,                 1.4405,                 1.7075,                0.66882,                0.64154,                0.65554,                0.27921,                 1.8051,                 2.1421,                 2.8465,               0.001802,               0.001802,               0.001802
                      7,                 1.1186,                 1.3077,                 1.6443,                0.55325,                0.58824,                0.57258,                0.28536,                 1.8114,                 1.9115,                 2.8315,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.0666,                 1.2163,                 1.6302,                0.44191,                0.67059,                0.51172,                0.21509,                 1.7256,                 1.7908,                 2.7425,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.0905,                 1.2918,                 1.6496,                 0.7751,                    0.8,                0.85921,                0.50711,                 1.4277,                   1.26,                 2.5574,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1016,                 1.2401,                 1.6521,                0.83204,                0.69412,                0.84277,                0.44956,                  1.482,                 1.4605,                 2.4708,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.0952,                 1.1852,                 1.6241,                0.75626,                 0.8396,                0.83164,                0.41786,                 1.6843,                 1.2508,                 2.5874,               0.001604,               0.001604,               0.001604
                     12,                 1.1342,                 1.1444,                 1.6713,                0.78033,                0.65882,                0.73021,                0.38061,                 1.6883,                 1.5145,                 2.5326,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0779,                  1.159,                 1.6192,                0.88484,                0.72941,                0.85233,                0.50528,                 1.3801,                 1.2243,                  2.228,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0498,                 1.1134,                 1.5843,                0.83515,                0.83442,                0.89901,                0.49953,                 1.4508,                 1.0578,                 2.5686,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0164,                 1.1009,                 1.5583,                0.89803,                0.70588,                0.85022,                0.51262,                 1.4352,                 1.1736,                 2.2806,              0.0014456,              0.0014456,              0.0014456
                     16,                0.95321,                 1.0231,                 1.5388,                0.86864,                0.77796,                0.89227,                0.54835,                 1.2665,                 1.1862,                 2.0498,               0.001406,               0.001406,               0.001406
                     17,                 1.0036,                 1.0716,                 1.5726,                0.91146,                0.84774,                0.92976,                0.60812,                 1.2188,                0.94391,                  2.094,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0297,                 1.0465,                 1.5558,                0.83538,                0.82353,                0.87146,                0.54022,                 1.2975,                 1.1013,                 2.0706,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.0108,                0.99583,                 1.5628,                0.93291,                0.72941,                0.87936,                0.55868,                 1.2529,                 1.1037,                 2.0226,              0.0012872,              0.0012872,              0.0012872
