                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91698,                  2.154,                 1.5279,                0.64155,                0.68842,                0.70358,                0.30254,                 1.6018,                 3.1897,                 2.4114,             0.00064706,             0.00064706,             0.00064706
                      2,                  1.109,                 1.7998,                 1.6157,                0.55158,                 0.6813,                0.64868,                 0.2255,                 1.8753,                 3.1556,                 2.5213,              0.0012877,              0.0012877,              0.0012877
                      3,                 1.1264,                 1.6372,                 1.6604,                0.56866,                0.66154,                0.55921,                 0.2331,                 1.7554,                 3.9103,                 2.5943,               0.001902,               0.001902,               0.001902
                      4,                 1.0621,                 1.5709,                 1.6369,                0.07264,                0.29231,                 0.0482,                0.01081,                 3.4825,                 7.8501,                 4.1654,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1645,                 1.5886,                 1.7319,                0.20856,                0.50676,                 0.1629,                0.05311,                  2.671,                  7.995,                 3.6126,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1156,                 1.4963,                 1.6786,                0.60616,                0.47363,                0.51201,                0.15228,                 2.4295,                  2.675,                 2.9477,               0.001802,               0.001802,               0.001802
                      7,                 1.1617,                 1.4355,                 1.6678,                0.71487,                0.73291,                 0.7311,                0.45337,                 1.3734,                 2.9955,                 2.2263,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.0695,                 1.4186,                 1.6211,                0.78709,                0.79626,                0.83753,                0.49829,                 1.2716,                 1.6734,                 2.3103,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.0864,                 1.2519,                 1.6089,                0.69518,                0.73846,                0.73079,                0.41194,                 1.3547,                 1.9341,                 2.1869,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1125,                 1.3837,                 1.6813,                0.78036,                0.75385,                0.77432,                0.38719,                 1.6061,                 1.7558,                   2.35,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.0234,                 1.2202,                 1.5676,                0.81876,                0.76458,                0.78427,                0.49187,                 1.4792,                 1.5859,                 2.3626,               0.001604,               0.001604,               0.001604
                     12,                 1.1605,                 1.2906,                 1.7033,                0.72425,                0.76923,                0.73898,                0.39932,                 1.5104,                   1.55,                  2.253,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0456,                 1.2333,                 1.5709,                0.98216,                0.84721,                 0.9237,                0.58204,                 1.1296,                 1.1313,                 1.9865,              0.0015248,              0.0015248,              0.0015248
                     14,                0.96525,                 1.1944,                 1.5534,                0.76391,                0.78462,                0.77704,                0.49896,                 1.3346,                 1.2506,                 2.0494,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0304,                 1.1312,                 1.5934,                 0.7955,                0.77804,                0.76181,                0.47262,                 1.3611,                 1.3675,                 2.0812,              0.0014456,              0.0014456,              0.0014456
                     16,                0.96013,                 1.1039,                 1.5472,                0.88399,                0.81538,                0.87809,                0.58044,                 1.2584,                 1.1246,                 2.0259,               0.001406,               0.001406,               0.001406
                     17,                0.98238,                 1.0965,                 1.5662,                0.90199,                 0.8496,                0.91622,                 0.6279,                 1.0348,                 1.0372,                 1.7387,              0.0013664,              0.0013664,              0.0013664
