                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0706,                 2.0721,                 1.6518,                0.59435,                0.72308,                0.66683,                 0.3328,                 1.5123,                 5.8909,                 2.5802,             0.00064706,             0.00064706,             0.00064706
                      2,                  1.382,                 1.6058,                 1.8328,                0.24507,                    0.8,                0.38801,                0.13026,                 2.0349,                 12.354,                 4.0203,              0.0012877,              0.0012877,              0.0012877
                      3,                 1.3413,                 1.4331,                 1.8206,                0.05914,                0.43077,                0.04809,                0.01205,                 3.0888,                 19.523,                 4.9254,               0.001902,               0.001902,               0.001902
                      4,                 1.4053,                 1.4278,                 1.8814,                0.01317,                0.07692,                0.00218,                0.00055,                 4.3112,                  10.26,                 4.9924,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3738,                 1.5005,                 1.8604,                0.02644,                0.12308,                0.01013,                0.00349,                 3.6385,                 18.302,                 5.6047,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2989,                 1.3399,                 1.8102,                 0.0012,                0.09231,                0.00067,                0.00018,                 5.0842,                 247.76,                 13.557,               0.001802,               0.001802,               0.001802
                      7,                 1.2826,                 1.3419,                 1.7547,                0.31024,                0.27692,                0.21318,                0.07799,                 3.2473,                 11.298,                  4.296,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3421,                 1.3646,                 1.8282,                0.45743,                0.35385,                 0.3111,                0.12755,                 2.3742,                 2.6301,                 2.9036,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2666,                 1.2028,                 1.7576,                0.03118,                0.14409,                0.01181,                0.00525,                 3.4196,                 7.3273,                 6.9644,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3117,                 1.3373,                 1.8078,                0.00581,                0.33846,                0.00294,                0.00146,                 3.1804,                 129.45,                 4.2635,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1403,                 1.2183,                 1.6613,                0.27443,                0.58462,                0.24088,                0.09966,                 1.8754,                 3.1301,                 2.6172,               0.001604,               0.001604,               0.001604
                     12,                 1.2816,                 1.2948,                 1.7864,                0.75607,                0.81069,                0.81424,                0.52204,                 1.2347,                 1.2408,                 2.0001,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1432,                 1.1874,                 1.6549,                0.66321,                0.75385,                0.69777,                0.34887,                 1.2994,                 1.3182,                 2.0932,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1447,                 1.2472,                 1.6721,                0.55745,                0.81538,                0.61078,                0.29321,                  1.298,                 1.6542,                 2.1104,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1568,                 1.1467,                 1.6963,                0.87109,                0.83077,                0.85299,                0.53435,                  1.208,                 1.2352,                 2.0644,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.114,                 1.2032,                 1.6583,                0.89113,                0.84615,                0.90816,                0.61466,                 1.1331,                 1.1942,                  1.882,               0.001406,               0.001406,               0.001406
                     17,                 1.1065,                 1.0928,                 1.6429,                0.89833,                0.81561,                0.89873,                0.54678,                 1.1733,                 1.1747,                 1.9122,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1206,                 1.1061,                 1.6859,                0.71487,                0.87692,                0.82309,                0.54886,                  1.163,                 1.1333,                 1.9671,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.1254,                 1.1604,                 1.6739,                0.87283,                0.76923,                 0.8543,                  0.559,                 1.2877,                 1.1883,                 2.0229,              0.0012872,              0.0012872,              0.0012872
